username,followers_count,likes_sum,reposts_sum,views_sum
iamcardib,37185483,525123,40318,10813361
AmitShah,36742497,15925,10128,163366
BrunoMars,36698679,923992,125977,38484967
NFL,36198256,9989,968,1727113
POTUS46Archive,35908126,0,0,0
JLo,35330994,15672,2020,511389
Oprah,35098922,0,0,0
MrBeast,34402012,242151,10730,35346094
Drake,33756422,22828,2074,1962592
myogiadityanath,32690913,8764,2405,137769
NiallOfficial,32588668,95460,14116,2061942
Google,31811936,2048,230,534012
KevinHart4real,31579839,5641,768,709274
wizkhalifa,31375116,14760,1757,2334990
kanyewest,30930510,832514,117997,58963799
POTUS45,30099712,0,0,0
Harry_Styles,29952787,0,0,0
iHrithik,29549878,75845,5257,3029491
HillaryClinton,29271238,115707,30825,6732645
LilTunechi,29050863,109027,15420,7713135
Louis_Tomlinson,28862753,358489,60791,5690283
KendallJenner,28830190,0,0,0
FoxNews,28689143,14640,2309,4285299
RahulGandhi,28337215,75478,24210,1618583
rashtrapatibhvn,28066897,15324,2739,345783
chrisbrown,27983351,15186,3420,794890
NatGeo,27754456,14425,2956,1900806
khloekardashian,27708230,7794,713,939197
BCCI,27643441,34575,3286,1358413
BIGHIT_MUSIC,27198316,141439,51726,2447277
FabrizioRomano,27163713,328393,24007,13251285
instagram,27119554,2102,262,723482
LiamPayne,26920383,0,0,0
whindersson,26890769,25852,1077,2256762
FiersaBesari,26818274,98383,28365,5313855
netflix,26756190,208095,73368,6041751
ArvindKejriwal,26555217,14519,11837,834967
ICC,26234007,1874,116,161733
NICKIMINAJ,26170993,194502,26653,18728854
zaynmalik,25990605,648633,139599,46767637
TheEconomist,25978423,172,50,141436
Reuters,25524375,144,62,110285
ChelseaFC,25333235,57673,4947,1504085
Tesla,24731276,85363,13895,260860173
priyankachopra,24716130,92103,11954,2729284
Xbox,24688374,22595,1888,1735301
Pink,24358734,0,0,0
rajnathsingh,24183569,46433,7247,1719371
LFC,24162681,164867,16067,9699122
aajtak,23990918,119,21,14146
ShawnMendes,23754851,83844,11068,2649314
aliciakeys,23726138,11649,2071,805955
ConanOBrien,23716028,132971,7687,11322452
EmmaWatson,23615033,0,0,0
ImRo45,23559663,567846,47823,12062289
kourtneykardash,23539981,0,0,0
deepikapadukone,23462408,0,0,0
detikcom,23284676,9,5,8760
onedirection,23228176,0,0,0
BJP4India,23010797,3277,1370,88980
KAKA,22861130,170690,8845,4080219
WhiteHouse45,22803938,0,0,0
M10,22778186,47285,4213,752128
virendersehwag,22691941,236494,18087,2892450
AJArabic,22689471,184,24,50192
arrahman,22309592,37559,5778,1077435
SaudiNews50,22196219,1622,223,838178
auronplay,21935059,266145,9350,16488935
andresiniesta8,21804309,345793,20351,8122802
Adele,21752636,0,0,0
RockstarGames,21579895,15544,1718,2848467
Arsenal,21488953,125524,14021,12881786
AnushkaSharma,21475958,14433,979,316284
Rubiu5,21105194,915203,51036,30555758
AlMosahf,21061507,502,144,51139
WSJ,21043428,442,93,421741
KamalaHarris,20927391,228797,40230,9448324
jokowi,20914090,9960,1748,1424639
Benzema,20897930,576597,57757,46935099
